rank,country,gdpPerCapita
1,United States,67063.2695
2,China,10746.7828
3,Japan,43450.1405
4,Germany,49617.145
5,India,2360.6592
6,United Kingdom,43117.5725
7,France,44061.5183
8,Italy,34574.7083
9,Brazil,9703.1693
10,Canada,48552.8727
11,South Korea,34023.5563
12,Russia,11426.088
13,Spain,32019.8291
14,Australia,58096.7349
15,Mexico,10065.3245
16,Indonesia,4419.5818
17,Netherlands,55730.2675
18,Turkey,9598.8138
19,Saudi Arabia,22693.8854
20,Switzerland,85584.5582
21,Poland,16996.8719
22,Taiwan,26607.0868
23,Sweden,57105.1458
24,Belgium,47782.4861
25,Thailand,7842.8535
26,Argentina,11402.6811
27,Nigeria,2406.7284
28,Iran,5901.6144
29,Austria,53481.7582
30,United Arab Emirates,45410.6921
31,Norway,80908.2275
32,Ireland,82058.0317
33,Israel,46670.8297
34,Hong Kong,53626.1196
35,Malaysia,12419.9781
36,Singapore,66983.2635
37,Philippines,3550.321
38,South Africa,6520.579
39,Denmark,62937.3768
40,Colombia,6933.7648
41,Bangladesh,2084.4027
42,Egypt,3238.0117
43,Chile,16402.893
44,Finland,52203.1433
45,Vietnam,2900.9258
46,Romania,13677.9929
47,Czech Republic,24254.035
48,Portugal,24509.0843
49,Iraq,6139.152
50,Peru,7405.1947
51,Greece,22114.4398
52,New Zealand,46647.0616
53,Qatar,70810.2211
54,Algeria,4402.5406
55,Hungary,18398.2963
56,Kazakhstan,9443.7219
57,Ukraine,3365.1347
58,Kuwait,33484.7495
59,Morocco,3496.452
60,Slovakia,21503.0583
61,Kenya,2029.2611
62,Ecuador,6106.0857
63,Puerto Rico,36393.691
64,Ethiopia,864.3693
65,Angola,2933.8892
66,Dominican Republic,8338.8413
67,Sri Lanka,4200.2967
68,Guatemala,4891.2209
69,Oman,16480.1573
70,Panama,17496.6574
71,Luxembourg,117724.5846
72,Ghana,2325.6248
73,Bulgaria,10325.4757
74,Myanmar,1312.3187
75,Venezuela,2465.4012
76,Tanzania,1086.2786
77,Croatia,15733.4468
78,Belarus,6737.4139
79,Costa Rica,12457.5049
80,Uruguay,18257.3199
81,Macau,95725.627
82,Lebanon,8881.4722
83,Slovenia,28001.3161
84,Lithuania,21159.3993
85,Turkmenistan,9460.638
86,Serbia,6510.6541
87,Uzbekistan,1657.7031
88,DR Congo,585.9109
89,Libya,7338.3579
90,Ivory Coast,1891.0259
91,Azerbaijan,4677.7958
92,Bolivia,4030.8331
93,Jordan,4552.6208
94,Paraguay,6361.8308
95,Cameroon,1583.938
96,Bahrain,23923.13
97,Latvia,20200.4243
98,Tunisia,2974.1207
99,Uganda,735.0079
100,Estonia,25053.9941
101,Nepal,1133.7893
102,Yemen,1052.2711
103,Cambodia,1753.0391
104,El Salvador,4347.997
105,Senegal,1675.9509
106,Iceland,78597.9493
107,Cyprus,21822.8381
108,Zimbabwe,1736.6704
109,Honduras,2580.6173
110,Zambia,1374.677
111,Trinidad and Tobago,16602.5003
112,Papua New Guinea,2471.6599
113,Laos,3025.609
114,Bosnia and Herzegovina,6505.3878
115,Botswana,8875.9825
116,Afghanistan,531.2838
117,Mali,954.6274
118,Georgia,4734.8231
119,Gabon,8039.1457
120,Albania,5980.2689
121,Jamaica,5645.4094
122,Malta,37002.0587
123,Mozambique,521.3173
124,Burkina Faso,778.1557
125,Mauritius,12389.8384
126,Mongolia,4563.3547
127,Namibia,5756.6103
128,Brunei,32643.8526
129,Armenia,4680.0077
130,Bahamas,34863.8504
131,North Macedonia,6575.8716
