country,literacyRate,population
Afghanistan,43,38928346
Albania,98.1,2877797
Algeria,81.4,43851044
Angola,71.1,32866272
Australia,99,97929
Argentina,99,45195774
Armenia,99.7,2963243
Austria,99,8859000
Azerbaijan,99.8,10139177
Bahamas,93,389482
Bahrain,97.5,1701575
Bangladesh,73.9,164689383
Belarus,99.8,9449323
Belgium,99,1146000
Benin,42.4,12123200
Bolivia,92.5,11673021
Bosnia and Herzegovina,98.5,3280819
Botswana,88.5,2351627
Brazil,93.2,212559417
Bulgaria,97.2,437479
Burkina Faso,41.2,20903273
Cambodia,80.5,16718965
Cameroon,77.1,26545863
Canada,99,37742154
"Congo, Dem. Rep.",37.4,4829767
Cote d'Ivoire,22.3,16425864
Chile,96.4,19116201
China,96.8,1439323776
Colombia,95.1,50882891
Costa Rica,97.9,5094118
Croatia,99.3,4105267
Cuba,99.8,11326616
Cyprus,99.1,1207359
Czech Republic,99,10708981
Denmark,99,5806000
Dominican Republic,93.8,10847910
Egypt,71.2,102334404
El Salvador,88.5,6486205
Ecuador,95.3,1402985
Estonia,99.8,1326535
Ethiopia,51.8,114963588
Finland,99,5518000
France,99,6706000
Fiji,99.1,896445
Gabon,84.7,2225734
Georgia,99.4,3989167
Ghana,76.6,31072940
Greece,97.7,10423054
Germany,98.6,112523
Guatemala,81.5,17915568
Haiti,61.7,11402528
Honduras,87.2,9904607
Hong Kong,99,7507000
Hungary,99.1,9660351
Iceland,99,356991
India,74.4,1380004385
Indonesia,95.7,273523615
Iran,85.5,83992493
Iraq,50.1,40222493
Israel,97.8,8655535
Ireland,47.2,26378000
Italy,99.16,6036000
Jamaica,88.7,2961167
Japan,99,126300
Jordan,98.2,10203134
Kazakhstan,99.8,18776707
Kenya,81.5,53771296
Kuwait,96.1,4270571
Korea,99.6,6524195
Luxembourg,84.7,7275560
Latvia,99.9,1886198
Lebanon,95.1,6825445
Libya,91,6871292
Lithuania,99.8,2722289
Macedonia,96.5,649335
Madagascar,74.8,27691018
Malawi,62.1,19129952
Malaysia,93.7,32365999
Mali,35.5,20250833
Malta,94.5,441543
Moldova,53.5,4646658
Mauritius,91.3,1271768
Mexico,95.4,128932753
Mongolia,98.4,3278290
Morocco,73.8,36910560
Mozambique,60.7,31255435
Myanmar,75.6,54409800
Namibia,91.5,2540905
Nepal,67.9,29136808
Neatherlands,99,172800
New Zealand,96.9,285498
Nicaragua,19.1,24206644
Nigeria,62,206139589
Norway,100,25778816
Oman,95.7,5106626
Pakistan,59.1,220892340
Portugal,97.2,5101000
Panama,95.4,4314767
Papua New Guinea,64.2,8947024
Paraguay,94,7132538
Peru,94.4,32971854
Philippines,98.2,109581078
Poland,99.8,37846611
Puerto Rico,92.4,2860853
Qatar,93.5,2881053
Romania,98.8,19237691
Rwanda,73.2,12952218
Saudi Arabia,95.3,34813871
Senegal,51.9,16743927
Serbia,98.3,8737371
Switzerland,95.9,98347
Slovak Republic,43.2,7976983
Singapore,97.3,5850342
Slovenia,99.7,5459642
South Africa,87,59308690
Sri Lanka,34.5,11193725
Spain,98.4,46754778
Sudan,60.7,43849260
Sweden,94.4,586632
Syria,86.4,17500658
Taiwan,98.5,23816775
Tanzania,77.9,59734218
Thailand,92.9,69799978
Togo,63.7,8278724
Trinidad and Tobago,99,1399488
Tunisia,81.8,11818619
Turkey,96.2,84339067
Uganda,76.5,45741007
Ukraine,99.8,43733762
United Arab Emirates,93.8,9890402
United Kingdom,99,67886011
United States,86,331002615
Uruguay,98.7,3473730
Uzbekistan,100,33469203
West Bank and Gaza,87.5,307145
Venezuela,97.1,28435940
Vietnam,95,97338579
Yemen,70.1,29825964
Zambia,86.7,18383955
Zimbabwe,86.5,14862924
