country,literacyRate,pop2020
Afghanistan,43,38928
Albania,98.1,2878
Algeria,81.4,43851
Andorra,100,77
Antigua and Barbuda,99,98
Argentina,99,45196
Armenia,99.7,2963
Aruba,97.8,107
Azerbaijan,99.8,10139
Bahrain,97.5,1702
Bangladesh,73.9,164689
Barbados,99.6,287
Belarus,99.8,9449
Benin,42.4,12123
Bhutan,66.6,772
Bolivia,92.5,11673
Bosnia and Herzegovina,98.5,3281
Botswana,88.5,2352
Brazil,93.2,212559
Brunei,97.2,437
Burkina Faso,41.2,20903
Burundi,68.4,11891
Cambodia,80.5,16719
Cameroon,77.1,26546
Cape Verde,86.8,556
Cayman Islands,98.9,66
Central African Republic,37.4,4830
Chad,22.3,16426
Chile,96.4,19116
China,96.8,1439324
Colombia,95.1,50883
Comoros,58.8,870
Costa Rica,97.9,5094
Croatia,99.3,4105
Cuba,99.8,11327
Cyprus,99.1,1207
Czech Republic,99,10709
Dominican Republic,93.8,10848
Egypt,71.2,102334
El Salvador,88.5,6486
Equatorial Guinea,95.3,1403
Eritrea,76.6,3546
Estonia,99.8,1327
Ethiopia,51.8,114964
Fiji,99.1,896
Gabon,84.7,2226
Gambia,50.8,2417
Georgia,99.4,3989
Ghana,76.6,31073
Greece,97.7,10423
Greenland,100,57
Grenada,98.6,113
Guatemala,81.5,17916
Guinea,30.4,13133
Guinea-Bissau,59.9,1968
Guyana,88.5,787
Haiti,61.7,11403
Honduras,87.2,9905
Hungary,99.1,9660
India,74.4,1380004
Indonesia,95.7,273524
Iran,85.5,83993
Iraq,50.1,40222
Israel,97.8,8656
Ivory Coast,47.2,26378
Jamaica,88.7,2961
Jordan,98.2,10203
Kazakhstan,99.8,18777
Kenya,81.5,53771
Kuwait,96.1,4271
Kyrgyzstan,99.6,6524
Laos,84.7,7276
Latvia,99.9,1886
Lebanon,95.1,6825
Lesotho,79.4,2142
Liberia,48.3,5058
Libya,91,6871
Lithuania,99.8,2722
Macau,96.5,649
Madagascar,74.8,27691
Malawi,62.1,19130
Malaysia,93.7,32366
Maldives,97.7,541
Mali,35.5,20251
Malta,94.5,442
Marshall Islands,98.3,59
Mauritania,53.5,4650
Mauritius,91.3,1272
Mexico,95.4,128933
Mongolia,98.4,3278
Montenegro,98.8,628
Morocco,73.8,36911
Mozambique,60.7,31255
Myanmar,75.6,54410
Namibia,91.5,2541
Nepal,67.9,29137
New Caledonia,96.9,285
Niger,19.1,24207
Nigeria,62,206140
North Korea,100,25779
Oman,95.7,5107
Pakistan,59.1,220892
Palau,96.6,18
Palestine,97.2,5101
Panama,95.4,4315
Papua New Guinea,64.2,8947
Paraguay,94,7133
Peru,94.4,32972
Philippines,98.2,109581
Poland,99.8,37847
Puerto Rico,92.4,2861
Qatar,93.5,2881
Romania,98.8,19238
Russia,99.7,145934
Rwanda,73.2,12952
Samoa,99.1,198
San Marino,99.9,34
Sao Tome and Principe,92.8,219
Saudi Arabia,95.3,34814
Senegal,51.9,16744
Serbia,98.3,8737
Seychelles,95.9,98
Sierra Leone,43.2,7977
Singapore,97.3,5850
Slovenia,99.7,2079
South Africa,87,59309
South Sudan,34.5,11194
Spain,98.4,46755
Sudan,60.7,43849
Suriname,94.4,587
Syria,86.4,17501
Taiwan,98.5,23817
Tajikistan,99.8,9538
Tanzania,77.9,59734
Thailand,92.9,69800
Togo,63.7,8279
Tonga,99.4,106
Trinidad and Tobago,99,1399
Tunisia,81.8,11819
Turkey,96.2,84339
Turkmenistan,99.7,6031
Uganda,76.5,45741
Ukraine,99.8,43734
United Arab Emirates,93.8,9890
Uruguay,98.7,3474
Uzbekistan,100,33469
Vanuatu,87.5,307
Venezuela,97.1,28436
Vietnam,95,97339
Yemen,70.1,29826
Zimbabwe,86.5,14863
